ID,Mcore,err_Mcore,Tcore,Size
I12326-6245_15,3.11,1.55,30.0,1489
I12326-6245_16,1.72,0.86,100.0,1621
I12326-6245_17,1.95,0.98,100.0,1370
I12326-6245_18,2.77,1.38,30.0,1460
I12326-6245_19,0.49,0.25,100.0,746
I12326-6245_20,0.86,0.43,100.0,1329
I12326-6245_21,3.01,1.50,30.0,2595
I12326-6245_22,0.85,0.43,100.0,1833
I12326-6245_23,1.01,0.51,100.0,1283
I12326-6245_24,0.94,0.47,100.0,1117
I12326-6245_25,0.61,0.30,100.0,2005
I12326-6245_26,0.84,0.42,30.0,921
I12326-6245_27,1.26,0.63,100.0,3430
I12326-6245_28,1.42,0.71,30.0,1682
I12326-6245_29,2.67,1.33,30.0,2640
I12326-6245_30,0.37,0.19,100.0,1199
I12326-6245_31,1.59,0.80,30.0,1550
I12326-6245_32,0.28,0.14,100.0,1161
I12326-6245_33,0.33,0.16,100.0,1842
I12326-6245_34,0.27,0.14,100.0,1051
I12326-6245_35,0.99,0.50,30.0,1214
I12326-6245_36,0.15,0.07,100.0,877
I12326-6245_37,0.36,0.18,100.0,1629
I12326-6245_38,0.08,0.04,100.0,617
I12383-6128_1,0.71,0.35,100.0,2047
I12383-6128_2,0.15,0.08,100.0,498
I12383-6128_3,0.42,0.21,20.0,498
I12383-6128_4,0.10,0.05,30.0,498
I12383-6128_5,0.89,0.44,30.0,4332
I12383-6128_6,0.12,0.06,20.0,498
I12383-6128_7,0.07,0.04,100.0,1168
I12383-6128_8,0.36,0.18,30.0,1803
I12383-6128_9,0.12,0.06,20.0,498
I12383-6128_10,0.28,0.14,30.0,1414
I12572-6316_1,13.90,6.95,100.0,2090
I12572-6316_2,14.38,7.19,100.0,3661
I12572-6316_3,22.26,11.13,30.0,2640
I12572-6316_4,2.79,1.39,100.0,7131
I12572-6316_5,7.83,3.92,30.0,3024
I12572-6316_6,4.08,2.04,30.0,1792
I12572-6316_7,2.45,1.23,30.0,1387
I12572-6316_8,4.86,2.43,30.0,2139
I12572-6316_9,3.03,1.51,30.0,1806
I12572-6316_10,4.23,2.12,30.0,1857
I12572-6316_11,2.49,1.24,30.0,3360
I12572-6316_12,3.25,1.62,30.0,1857
I12572-6316_13,6.09,3.04,30.0,2483
I12572-6316_14,1.69,0.84,30.0,2843
I12572-6316_15,1.89,0.95,30.0,3372
I12572-6316_16,2.86,1.43,30.0,2045
I12572-6316_17,1.04,0.52,30.0,1946
I12572-6316_18,3.56,1.78,30.0,2920
I12572-6316_19,3.27,1.63,30.0,3290
I12572-6316_20,2.25,1.12,30.0,6383
I12572-6316_21,1.50,0.75,30.0,1548
I12572-6316_22,2.99,1.49,30.0,3239
I12572-6316_23,0.59,0.30,30.0,5236
I13079-6218_1,16.37,8.19,100.0,914
I13079-6218_2,1.88,0.94,30.0,573
I13079-6218_3,0.42,0.21,100.0,483
I13079-6218_4,0.75,0.37,100.0,433
I13079-6218_5,0.90,0.45,100.0,705
I13079-6218_6,0.56,0.28,100.0,372
I13079-6218_7,2.04,1.02,20.0,704
I13079-6218_8,0.55,0.28,30.0,372
I13079-6218_9,1.62,0.81,30.0,544
I13079-6218_10,0.71,0.35,30.0,372
I13079-6218_11,0.76,0.38,30.0,518
I13079-6218_12,1.73,0.86,30.0,718
I13079-6218_13,0.90,0.45,30.0,690
I13079-6218_14,0.46,0.23,30.0,372
I13079-6218_15,3.93,1.96,30.0,5846
I13079-6218_16,0.60,0.30,100.0,519
I13079-6218_17,0.80,0.40,30.0,1121
I13079-6218_18,0.33,0.16,100.0,825
I13079-6218_19,0.69,0.34,100.0,961
I13079-6218_20,0.65,0.32,30.0,744
I13079-6218_21,1.34,0.67,20.0,941
I13079-6218_22,0.70,0.35,100.0,913
I13079-6218_23,0.67,0.33,30.0,767
I13079-6218_24,0.67,0.34,30.0,695
I13079-6218_25,0.59,0.29,30.0,794
I13079-6218_26,1.33,0.67,20.0,1069
I13079-6218_27,3.48,1.74,20.0,1803
I13079-6218_28,0.71,0.36,30.0,802
I13079-6218_29,0.31,0.16,30.0,372
I13079-6218_30,1.06,0.53,30.0,641
I13079-6218_31,1.82,0.91,20.0,3344
I13079-6218_32,0.39,0.19,30.0,372
I13079-6218_33,0.59,0.30,30.0,765
I13079-6218_34,0.45,0.22,30.0,823
I13079-6218_35,0.42,0.21,30.0,609
I13079-6218_36,0.78,0.39,30.0,1289
I13079-6218_37,0.50,0.25,30.0,1210
