ID,Mcore,err_Mcore,Tcore,Size
J262.6097-34.6926,0.50,0.10,28.0,2898
J262.6094-34.6911,1.50,0.10,25.0,6186
J262.6287-34.6862,1.60,0.20,21.0,4250
J262.5983-34.6919,0.80,0.20,21.0,2988
J262.6142-34.6940,2.20,0.30,28.0,3942
J262.6203-34.7002,0.70,0.10,22.0,4002
J262.6010-34.6950,0.60,0.10,23.0,2904
J262.5971-34.6920,0.70,0.10,20.0,3456
J262.6054-34.6964,0.90,0.20,29.0,3858
J262.5917-34.6897,0.60,0.10,20.0,3178
J262.6096-34.6983,0.90,0.20,27.0,3914
J262.5976-34.6877,0.30,0.10,20.0,2756
J262.6035-34.6967,0.90,0.10,25.0,3976
J262.6030-34.6956,0.40,0.10,25.0,3236
J262.6143-34.6909,2.10,0.10,24.0,7204
J262.6188-34.6912,0.70,0.20,24.0,4626
J262.6178-34.6920,1.30,0.20,24.0,5982
J281.9459-01.9075,82.80,0.40,100.0,3572
J281.9452-01.9081,30.50,0.60,100.0,3180
J281.9432-01.9093,20.90,0.30,100.0,3624
J281.9457-01.9073,36.90,0.40,100.0,4344
J281.9469-01.9082,25.70,0.30,26.0,2962
J281.9423-01.9092,32.90,0.60,25.0,3228
J281.9439-01.9064,7.50,0.20,100.0,3114
J281.9387-01.9103,6.80,0.20,25.0,2882
J281.9449-01.9087,6.40,0.30,100.0,3166
J281.9458-01.9071,75.50,1.70,37.0,4856
J281.9366-01.9126,2.00,0.10,100.0,3390
J281.9437-01.9090,4.00,0.30,100.0,3152
J281.9427-01.9093,11.00,0.50,26.0,3268
J281.9450-01.9045,7.30,0.50,25.0,2792
J281.9438-01.9067,2.20,0.10,100.0,3072
J281.9373-01.9119,5.10,0.30,25.0,3180
J281.9454-01.9083,3.50,0.40,100.0,3876
J281.9462-01.9075,10.80,1.00,32.0,3258
J281.9457-01.9036,8.50,0.40,24.0,5430
J281.9454-01.9082,12.30,1.40,31.0,3466
J281.9384-01.9108,3.00,0.20,26.0,2944
J281.9453-01.9040,3.00,0.20,24.0,2680
J281.9441-01.9089,12.60,1.40,26.0,3042
J281.9459-01.9086,3.70,0.50,100.0,3608
J281.9431-01.9082,3.00,0.20,25.0,3238
J281.9472-01.9036,2.40,0.10,24.0,3160
J281.9453-01.9071,1.50,0.30,100.0,2964
J281.9461-01.9089,4.60,0.90,25.0,2610
J281.9457-01.9082,7.50,1.40,30.0,2856
J281.9337-01.9136,1.70,0.10,26.0,3272
J281.9456-01.9075,10.20,1.10,34.0,3326
J281.9438-01.9080,2.60,0.20,26.0,3284
J281.9359-01.9117,1.50,0.20,25.0,2838
J281.9386-01.9111,3.60,0.30,26.0,4104
J281.9444-01.9054,2.30,0.30,25.0,2964
J281.9454-01.9067,6.40,1.10,28.0,2956
J281.9507-01.9010,1.60,0.10,25.0,4182
J281.9365-01.9130,2.40,0.30,25.0,3498
J281.9441-01.9058,4.50,0.50,26.0,3870
J281.9458-01.9047,2.40,0.20,24.0,2750
J281.9455-01.9080,4.90,1.30,31.0,2484
J281.9558-01.9010,2.00,0.20,26.0,3928
J281.9466-01.9060,2.10,0.40,25.0,2984
J281.9447-01.9049,2.50,0.40,25.0,2722
J281.9473-01.9037,1.40,0.10,24.0,3030
J281.9350-01.9116,3.00,0.30,25.0,2946
J281.9377-01.9117,1.50,0.20,25.0,2852
J281.9408-01.9091,1.60,0.20,25.0,3134
J281.9494-01.8998,1.10,0.10,24.0,4068
J281.9382-01.9110,1.40,0.20,25.0,3204
J281.9365-01.9123,1.50,0.30,25.0,3068
J281.9457-01.9089,3.20,1.10,26.0,2594
J281.9368-01.9119,1.60,0.30,25.0,3442
J281.9415-01.9094,1.60,0.20,24.0,4230
J281.9391-01.9108,1.30,0.20,25.0,3958
J281.9465-01.9031,1.80,0.30,24.0,3874
J281.9467-01.9063,2.00,0.40,25.0,3908
J281.9347-01.9117,3.60,0.30,25.0,5226
J281.9474-01.9033,1.00,0.10,24.0,3114
J281.9365-01.9112,0.90,0.20,24.0,2878
J281.9409-01.9163,0.50,0.10,27.0,7026
J281.9416-01.9070,1.00,0.20,25.0,3026
J281.9412-01.9098,2.30,0.30,24.0,5466
J281.9459-01.9063,1.30,0.40,26.0,2828
J281.9476-01.9071,1.40,0.20,26.0,4740
J281.9463-01.9096,2.30,0.50,25.0,4326
J281.9450-01.9057,2.10,0.50,25.0,5108
J281.9458-01.9059,1.20,0.30,25.0,3148
J281.9432-01.9059,1.30,0.30,25.0,3856
J281.9438-01.9073,0.90,0.30,26.0,3716
J281.9366-01.9106,0.00,0.00,0.0,2696
J281.9033-02.0151,42.60,0.30,100.0,3980
J281.9001-02.0224,10.80,0.10,25.0,3118
J281.9004-02.0211,18.70,0.30,25.0,4200
J281.9006-02.0133,5.20,0.10,24.0,2988
J281.9012-02.0141,1.80,0.10,100.0,3204
J281.9031-02.0149,24.70,0.50,37.0,4112
J281.9029-02.0132,2.60,0.10,100.0,3304
J281.8963-02.0191,4.70,0.10,23.0,3174
J281.9035-02.0174,5.80,0.20,28.0,3276
J281.9136-02.0078,21.60,0.60,29.0,4178
J281.8987-02.0090,2.60,0.10,24.0,2920
J281.9027-02.0148,10.50,0.70,31.0,4208
J281.9028-02.0134,6.00,0.20,28.0,3318
J281.9003-02.0244,2.70,0.10,25.0,3294
J281.9034-02.0147,21.90,0.70,33.0,6988
J281.9006-02.0130,1.50,0.10,24.0,2768
J281.9096-02.0115,1.20,0.10,23.0,2786
J281.8999-02.0140,3.90,0.20,24.0,7044
J281.9032-02.0153,6.10,0.20,36.0,3854
J281.9006-02.0248,1.90,0.20,25.0,3402
J281.9034-02.0140,2.90,0.50,27.0,3054
J281.9031-02.0155,3.00,0.30,34.0,3540
J281.8945-02.0178,1.80,0.10,24.0,3404
J281.9039-02.0152,4.10,0.30,31.0,4420
J281.9003-02.0203,0.70,0.10,24.0,2664
J281.9032-02.0129,1.50,0.20,26.0,3778
J281.9000-02.0138,0.90,0.20,24.0,3676
J281.9002-02.0207,1.30,0.20,24.0,3908
