ID,Mcore,err_Mcore,Tcore,Size
16,0.10,0.05,50.0,1443
17,0.58,0.29,50.0,2322
18,0.33,0.16,50.0,1710
19,0.15,0.07,50.0,1524
20,0.08,0.04,50.0,1361
1,0.38,0.19,35.0,1598
2,0.29,0.14,35.0,1746
3,1.30,0.65,35.0,1654
4,0.30,0.15,35.0,1861
5,3.81,1.90,35.0,2544
6,0.58,0.29,35.0,1915
1,0.81,0.41,41.0,1833
2,0.37,0.19,41.0,1918
3,0.30,0.15,41.0,2465
4,0.15,0.07,41.0,1823
5,0.27,0.13,41.0,2345
6,2.04,1.02,41.0,2193
7,2.07,1.03,41.0,2675
8,0.53,0.27,41.0,2055
9,0.48,0.24,41.0,2199
10,0.72,0.36,41.0,2004
11,0.57,0.29,41.0,2651
12,0.51,0.26,41.0,2809
13,0.18,0.09,41.0,2103
14,0.24,0.12,41.0,2202
1,2.73,1.36,20.0,2128
2,0.74,0.37,20.0,2261
3,2.50,1.25,20.0,1972
4,2.15,1.07,20.0,1899
5,0.98,0.49,20.0,1930
6,3.47,1.73,20.0,2021
7,1.01,0.51,20.0,1744
8,0.66,0.33,20.0,2247
9,0.38,0.19,20.0,1901
10,1.05,0.52,20.0,1842
1,1.23,0.61,20.0,2169
2,0.84,0.42,20.0,1926
3,0.62,0.31,20.0,2255
4,1.74,0.87,20.0,1953
5,0.27,0.14,20.0,1680
6,0.82,0.41,20.0,1744
7,1.55,0.78,20.0,2296
8,0.30,0.15,20.0,1817
9,0.33,0.17,20.0,1634
10,5.06,2.53,20.0,1851
11,1.48,0.74,20.0,1974
12,0.36,0.18,20.0,1650
13,0.70,0.35,20.0,2469
14,1.00,0.50,20.0,2929
15,0.27,0.14,20.0,1829
1,1.93,0.97,20.0,1607
2,0.46,0.23,20.0,1526
3,0.53,0.27,20.0,1363
4,0.43,0.21,20.0,1403
1,0.71,0.36,20.0,2107
2,2.24,1.12,20.0,2114
3,2.38,1.19,20.0,2040
4,0.86,0.43,20.0,1959
5,3.27,1.64,20.0,1895
6,1.20,0.60,20.0,2381
7,1.05,0.53,20.0,2370
8,0.98,0.49,20.0,1691
9,1.33,0.67,20.0,2747
10,0.78,0.39,20.0,1987
1,1.21,0.60,35.0,1792
2,0.18,0.09,35.0,1934
3,0.52,0.26,35.0,1652
4,5.95,2.98,35.0,2378
5,2.51,1.26,35.0,1864
6,0.27,0.13,35.0,1950
7,0.36,0.18,35.0,1725
8,0.46,0.23,35.0,1698
9,2.27,1.13,35.0,2051
10,1.38,0.69,35.0,1837
11,0.29,0.14,35.0,2280
12,0.53,0.27,35.0,2340
13,0.70,0.35,35.0,2478
14,5.73,2.86,35.0,1841
15,29.07,14.54,35.0,2045
16,1.94,0.97,35.0,1897
17,6.82,3.41,35.0,2126
18,1.00,0.50,35.0,2348
19,1.87,0.94,35.0,2044
20,0.49,0.25,35.0,2508
21,0.44,0.22,35.0,2084
22,0.33,0.16,35.0,1915
1,0.37,0.18,35.0,1520
1,0.66,0.33,20.0,1761
2,0.71,0.36,20.0,1715
3,0.75,0.37,20.0,2176
4,1.01,0.51,20.0,2272
5,0.33,0.17,20.0,1566
6,0.42,0.21,20.0,1761
7,0.57,0.28,20.0,1694
8,0.67,0.33,20.0,1565
9,13.28,6.64,20.0,2096
10,0.66,0.33,20.0,1627
1,0.17,0.09,35.0,1431
2,0.52,0.26,35.0,1465
1,1.81,0.91,35.0,1859
2,8.27,4.14,35.0,1813
3,0.13,0.06,35.0,1385
1,0.47,0.23,20.0,1144
2,0.37,0.18,20.0,1197
3,0.58,0.29,20.0,1295
4,0.70,0.35,20.0,1776
5,0.77,0.39,20.0,1328
6,0.83,0.41,20.0,1345
1,0.37,0.18,20.0,1067
2,1.00,0.50,20.0,1133
1,0.46,0.23,35.0,1727
2,0.50,0.25,35.0,1623
1,0.34,0.17,20.0,1489
2,2.40,1.20,20.0,1744
3,0.51,0.26,20.0,1682
4,0.39,0.19,20.0,1742
1,0.20,0.10,35.0,1304
2,0.82,0.41,35.0,1683
3,1.52,0.76,35.0,1481
1,0.92,0.46,20.0,1464
1,4.32,2.16,35.0,2373
2,0.38,0.19,35.0,1942
3,2.99,1.50,35.0,1977
4,2.55,1.28,35.0,2116
5,0.37,0.19,35.0,1816
6,1.65,0.82,35.0,2242
7,4.35,2.18,35.0,2766
8,1.07,0.53,35.0,2293
1,0.23,0.11,39.0,1795
2,8.58,4.29,39.0,2227
3,0.47,0.23,39.0,1707
4,0.34,0.17,39.0,1816
5,0.21,0.10,39.0,1508
6,0.47,0.23,39.0,1333
7,4.80,2.40,39.0,2049
1,0.25,0.12,35.0,1550
1,0.64,0.32,74.0,2271
2,0.37,0.18,74.0,2340
3,0.62,0.31,74.0,2675
4,0.35,0.17,74.0,2132
5,3.92,1.96,74.0,2353
6,0.49,0.24,74.0,2205
7,1.24,0.62,74.0,2708
8,5.08,2.54,74.0,2797
9,5.24,2.62,74.0,3572
10,39.23,19.61,74.0,2785
11,0.31,0.15,74.0,2112
1,5.51,2.76,36.0,1920
2,0.40,0.20,36.0,1880
3,0.21,0.10,36.0,1681
4,4.80,2.40,36.0,1934
5,3.19,1.60,36.0,1951
1,1.47,0.73,20.0,1790
2,4.41,2.20,20.0,1678
3,1.06,0.53,20.0,1617
4,0.62,0.31,20.0,1643
5,1.72,0.86,20.0,1623
1,0.34,0.17,20.0,1284
2,0.31,0.15,20.0,1321
3,0.39,0.20,20.0,1532
4,0.24,0.12,20.0,1227
5,1.71,0.85,20.0,1351
6,0.56,0.28,20.0,1587
7,0.94,0.47,20.0,1285
1,0.69,0.35,20.0,1212
2,0.22,0.11,20.0,1198
3,0.38,0.19,20.0,1271
4,0.31,0.15,20.0,1122
1,0.47,0.24,35.0,1927
2,16.15,8.07,35.0,1892
1,0.39,0.19,35.0,1729
1,2.03,1.01,20.0,1406
2,0.36,0.18,20.0,1529
3,3.03,1.52,20.0,1332
1,1.45,0.72,20.0,1328
2,0.67,0.34,20.0,1457
3,0.87,0.44,20.0,1420
4,0.48,0.24,20.0,1270
1,0.30,0.15,20.0,1181
1,0.62,0.31,20.0,1519
2,0.16,0.08,20.0,1526
3,0.40,0.20,20.0,1461
4,1.97,0.99,20.0,1835
5,0.44,0.22,20.0,1481
6,0.15,0.07,20.0,1424
7,0.23,0.11,20.0,1740
1,0.47,0.23,35.0,1256
1,0.32,0.16,20.0,1859
2,0.41,0.21,20.0,1850
3,1.50,0.75,20.0,1670
1,0.16,0.08,35.0,1715
2,0.20,0.10,35.0,2004
3,0.62,0.31,35.0,2569
4,0.16,0.08,35.0,1904
5,1.51,0.76,35.0,2058
6,0.18,0.09,35.0,1717
7,0.49,0.25,35.0,2042
8,0.37,0.18,35.0,1787
1,0.17,0.09,35.0,1872
2,0.45,0.23,35.0,1954
3,0.68,0.34,35.0,1716
4,1.21,0.60,35.0,2116
5,0.72,0.36,35.0,2446
1,2.46,1.23,20.0,1851
2,0.25,0.13,20.0,1597
1,0.36,0.18,20.0,2084
2,1.54,0.77,20.0,1872
3,0.27,0.14,20.0,1665
1,0.42,0.21,20.0,1695
2,0.19,0.10,20.0,1820
3,0.49,0.24,20.0,1493
4,0.24,0.12,20.0,1540
5,0.83,0.42,20.0,1561
6,0.26,0.13,20.0,2091
1,6.17,3.08,35.0,1503
2,0.40,0.20,35.0,1942
1,0.67,0.33,20.0,1475
2,0.29,0.15,20.0,1444
3,1.32,0.66,20.0,1625
4,0.63,0.32,20.0,1541
